03:48 24/06,Threshold,Precision,Recall,F-Score
,0.5,0.094 (0.037),0.520 (0.149),0.158 (0.058)
,3,0.353 (0.083),1.000 (0.000),0.516 (0.092)
03:53 24/06,Threshold,Precision,Recall,F-Score
,0.5,0.097 (0.043),0.514 (0.143),0.162 (0.064)
,3,0.367 (0.098),1.000 (0.000),0.530 (0.107)
04:00 24/06,Threshold,Precision,Recall,F-Score
,0.5,0.095 (0.031),0.458 (0.129),0.157 (0.049)
,3,0.410 (0.079),1.000 (0.000),0.577 (0.079)
04:08 24/06,Threshold,Precision,Recall,F-Score
,0.5,0.084 (0.030),0.380 (0.127),0.136 (0.046)
,3,0.418 (0.098),1.000 (0.000),0.584 (0.093)
04:14 24/06,Threshold,Precision,Recall,F-Score
,0.5,0.115 (0.067),0.462 (0.138),0.177 (0.078)
,3,0.441 (0.183),1.000 (0.000),0.592 (0.162)
17:56 28/06,Threshold,Precision,Recall,F-Score
,0.5,0.115 (0.067),0.462 (0.138),0.177 (0.078)
,3,0.441 (0.183),1.000 (0.000),0.592 (0.162)
