12/05/14 12:29,Threshold,Precision,Recall,F-Score
,0.5,0.202 (0.163),0.202 (0.164),0.201 (0.163)
,3,0.561 (0.262),0.562 (0.262),0.560 (0.261)
12/05/14 14:58,Threshold,Precision,Recall,F-Score
,0.5,0.202 (0.163),0.202 (0.165),0.201 (0.163)
,3,0.561 (0.262),0.561 (0.262),0.559 (0.261)
mazurkas n100,Threshold,Precision,Recall,F-Score
,0.5,0.377 (0.208),0.378 (0.209),0.376 (0.208)
,3,0.835 (0.218),0.837 (0.219),0.834 (0.218)
beatlesQMUL n100,Threshold,Precision,Recall,F-Score
,0.5,0.334 (0.121),0.332 (0.135),0.323 (0.108)
,3,0.576 (0.193),0.566 (0.196),0.561 (0.177)
beatlesTUT n=100,Threshold,Precision,Recall,F-Score
,0.5,0.309 (0.098),0.307 (0.112),0.296 (0.078)
,3,0.525 (0.150),0.520 (0.164),0.507 (0.121)
RWC IRISA n100,Threshold,Precision,Recall,F-Score
,0.5,0.217 (0.065),0.227 (0.070),0.220 (0.063)
,3,0.526 (0.141),0.555 (0.144),0.536 (0.134)
