13:32 09/04,Threshold,Precision,Recall,F-Score
,0.5,0.095 (0.031),0.458 (0.129),0.157 (0.049)
,3,0.410 (0.079),1.000 (0.000),0.577 (0.079)
13:32 09/04,Threshold,Precision,Recall,F-Score
,0.5,0.088 (0.039),0.168 (0.061),0.114 (0.047)
,3,0.340 (0.100),0.521 (0.114),0.407 (0.102)
13:32 09/04,Threshold,Precision,Recall,F-Score
,0.5,0.092 (0.050),0.170 (0.061),0.117 (0.054)
,3,0.323 (0.100),0.501 (0.115),0.389 (0.102)
13:32 09/04,Threshold,Precision,Recall,F-Score
,0.5,0.226 (0.069),0.200 (0.056),0.209 (0.056)
,3,0.484 (0.153),0.379 (0.091),0.420 (0.108)
13:32 09/04,Threshold,Precision,Recall,F-Score
,0.5,0.108 (0.048),0.169 (0.059),0.129 (0.051)
,3,0.340 (0.123),0.400 (0.104),0.362 (0.105)
